#Collected from mednet 12.06.18
#Entry,name,PL,RL,PLDate
6559,tuvirumab,66,32,1991b
6560,sevirumab,66,32,1991b
6605,imciromab,66,32,1991b
6614,maslimomab,66,32,1991b
6658,nebacumab,66,32,1991b
6867,biciromab,66,32,1991b
6345,telimomab aritox,66,32,1991b
6516,dorlimomab aritox,66,32,1991b
7417,arcitumomab,74,36,1995b
7471,edrecolomab,74,36,1995b
7602,infliximab,77,39,1997a
7609,rituximab,77,39,1997a
7615,clenoliximab,77,39,1997a
7623,felvizumab,77,39,1997a
7164,daclizumab,78,40,1997b
7637,trastuzumab,78,40,1997b
7646,morolimumab,79,41,1998a
7716,natalizumab,79,41,1998a
7753,palivizumab,79,41,1998a
6964,enlimomab,80,41,1998b
7046,altumomab,80,41,1998b
7056,edobacomab,80,41,1998b
7156,detumomab,80,41,1998b
7165,votumumab,80,41,1998b
7200,abciximab,80,41,1998b
7201,capromab,80,41,1998b
7250,regavirumab,80,41,1998b
7253,inolimomab,80,41,1998b
7263,priliximab,80,41,1998b
7340,afelimomab,80,41,1998b
7647,atorolimumab,80,42,1998b
7757,vepalimomab,80,42,1998b
7821,minretumomab,80,42,1998b
7827,tositumomab,80,42,1998b
7055,zolimomab aritox,80,41,1998b
6977,satumomab,81,43,1999a
7364,odulimomab,81,42,1999a
7496,faralimomab,81,43,1999a
7514,bectumomab,81,42,1999a
7546,nerelimomab,81,42,1999a
7560,keliximab,81,43,1999a
7567,cedelizumab,81,42,1999a
7578,basiliximab,81,42,1999a
7869,rovelizumab,81,43,1999a
7876,mepolizumab,81,43,1999a
7542,technetium (99mTc) nofetumomab merpentan,81,42,1999a
7906,cetuximab,82,44,1999b
7920,epratuzumab,82,44,1999b
7934,mitumomab,82,44,1999b
8005,alemtuzumab,83,45,2000a
8014,ruplizumab,83,45,2000a
8024,gemtuzumab,83,45,2000a
8039,omalizumab,84,46,2000b
8054,visilizumab,84,46,2000b
8060,gavilimomab,84,46,2000b
8061,ziralimumab,84,46,2000b
8076,erlizumab,84,46,2000b
8047,taplitumomab paptox,84,46,2000b
7860,adalimumab,85,45,2001ab
8106,reslizumab,85,47,2001ab
8122,efalizumab,85,47,2001ab
8127,labetuzumab,85,47,2001ab
7433,igovomab,86,42,2002a
7513,technetium (99mTc) pintumomab,86,42,2002a
7519,sulesomab,86,42,2002a
7580,lintuzumab,86,43,2002a
7866,sibrotuzumab,86,48,2002a
7882,lerdelimumab,86,46,2002a
7965,bivatuzumab,86,48,2002a
